Provider,Instance,vCPU,Memory(GB),Price($/hr),Region
AWS,m6i.24xlarge,96,384.0,5.76,Asia Pacific (Singapore)
AWS,u-12tb1.112xlarge,448,12288.0,185.493,EU (Frankfurt)
AWS,i7i.8xlarge,32,256.0,3.8707,Canada West (Calgary)
AWS,m5d.8xlarge,32,128.0,14.336,Asia Pacific (Osaka)
AWS,r6id.2xlarge,8,64.0,3.63504,Mexico (Central)
AWS,m5.large,2,8.0,0.112,Israel (Tel Aviv)
AWS,r5n.12xlarge,48,384.0,22.344,Asia Pacific (Sydney)
AWS,m5.16xlarge,64,256.0,11.52,Asia Pacific (Singapore)
AWS,c3.large,2,3.75,0.132,Asia Pacific (Singapore)
AWS,c5ad.2xlarge,8,16.0,0.468,Africa (Cape Town)
AWS,r5a.12xlarge,48,384.0,21.264,AWS GovCloud (US-East)
AWS,i7i.4xlarge,16,128.0,7.7521,EU (London)
AWS,m6i.4xlarge,16,64.0,1.1264,EU (Ireland)
AWS,r8a.8xlarge,32,256.0,2.55616,US East (Ohio)
AWS,m6i.24xlarge,96,384.0,5.76,Asia Pacific (Singapore)
AWS,u-12tb1.112xlarge,448,12288.0,185.493,EU (Frankfurt)
AWS,i7i.8xlarge,32,256.0,3.8707,Canada West (Calgary)
AWS,m5d.8xlarge,32,128.0,14.336,Asia Pacific (Osaka)
AWS,r6id.2xlarge,8,64.0,3.63504,Mexico (Central)
AWS,m5.large,2,8.0,0.112,Israel (Tel Aviv)
AWS,r5n.12xlarge,48,384.0,22.344,Asia Pacific (Sydney)
AWS,m5.16xlarge,64,256.0,11.52,Asia Pacific (Singapore)
AWS,c3.large,2,3.75,0.132,Asia Pacific (Singapore)
AWS,c5ad.2xlarge,8,16.0,0.468,Africa (Cape Town)
AWS,r5a.12xlarge,48,384.0,21.264,AWS GovCloud (US-East)
AWS,i7i.4xlarge,16,128.0,7.7521,EU (London)
AWS,m6i.4xlarge,16,64.0,1.1264,EU (Ireland)
AWS,r8a.8xlarge,32,256.0,2.55616,US East (Ohio)
AWS,m6i.24xlarge,96,384.0,5.76,Asia Pacific (Singapore)
AWS,u-12tb1.112xlarge,448,12288.0,185.493,EU (Frankfurt)
AWS,i7i.8xlarge,32,256.0,3.8707,Canada West (Calgary)
AWS,m5d.8xlarge,32,128.0,14.336,Asia Pacific (Osaka)
AWS,r6id.2xlarge,8,64.0,3.63504,Mexico (Central)
AWS,m5.large,2,8.0,0.112,Israel (Tel Aviv)
AWS,r5n.12xlarge,48,384.0,22.344,Asia Pacific (Sydney)
AWS,m5.16xlarge,64,256.0,11.52,Asia Pacific (Singapore)
AWS,c3.large,2,3.75,0.132,Asia Pacific (Singapore)
AWS,c5ad.2xlarge,8,16.0,0.468,Africa (Cape Town)
AWS,r5a.12xlarge,48,384.0,21.264,AWS GovCloud (US-East)
AWS,i7i.4xlarge,16,128.0,7.7521,EU (London)
AWS,m6i.4xlarge,16,64.0,1.1264,EU (Ireland)
AWS,r8a.8xlarge,32,256.0,2.55616,US East (Ohio)
